Job,Operation,Resource,Personnel,Start,ProcessingEnd,Finish
3.00,1.00,APR_4,A1,0.00,58.43,78.43
8.00,1.00,APR_3,A2,0.00,62.61,82.61
5.00,1.00,APR_4,A3,78.43,147.68,167.68
6.00,1.00,APR_1,A4,0.00,98.23,118.23
7.00,1.00,APR_3,A5,82.61,127.66,147.66
2.00,1.00,APR_2,A6,0.00,58.64,78.64
1.00,1.00,APR_2,A1,78.64,191.14,211.14
4.00,1.00,APR_1,A6,118.23,213.91,233.91
3.00,2.00,OR_4,S1,28.43,70.60,90.60
2.00,2.00,OR_2,S2,28.64,94.25,114.25
8.00,2.00,OR_1,S3,32.61,75.29,95.29
3.00,3.00,ARR_1,D1,40.60,171.22,191.22
8.00,3.00,ARR_4,D2,45.29,175.03,195.03
2.00,3.00,ARR_2,D3,64.25,166.29,186.29
6.00,2.00,OR_1,S4,95.29,248.35,268.35
7.00,2.00,OR_3,S5,97.66,189.10,209.10
5.00,2.00,OR_2,S6,117.68,191.37,211.37
7.00,3.00,ARR_2,D4,186.29,348.09,368.09
1.00,2.00,OR_3,S1,209.10,301.44,321.44
5.00,3.00,ARR_3,D5,161.37,279.86,299.86
4.00,2.00,OR_4,S3,183.91,283.75,303.75
6.00,3.00,ARR_4,D6,218.35,413.97,433.97
4.00,3.00,ARR_1,D3,253.75,441.67,461.67
1.00,3.00,ARR_3,D1,299.86,437.10,457.10
