Job,Operation,Resource,Personnel,Start,ProcessingEnd,Finish
5.00,1.00,APR_2,A1,0.00,86.13,106.13
16.00,1.00,APR_4,A2,0.00,45.51,65.51
9.00,1.00,APR_3,A3,0.00,60.80,80.80
7.00,1.00,APR_3,A4,80.80,126.85,146.85
3.00,1.00,APR_4,A5,65.51,126.64,146.64
8.00,1.00,APR_3,A6,146.85,222.12,242.12
10.00,1.00,APR_4,A2,146.64,211.58,231.58
1.00,1.00,APR_4,A3,231.58,365.49,385.49
12.00,1.00,APR_4,A1,385.49,430.03,450.03
11.00,1.00,APR_3,A5,242.12,301.90,321.90
6.00,1.00,APR_1,A4,146.85,254.24,274.24
15.00,1.00,APR_2,A2,231.58,319.85,339.85
2.00,1.00,APR_1,A6,274.24,343.72,363.72
13.00,1.00,APR_1,A4,363.72,480.45,500.45
4.00,1.00,APR_2,A5,339.85,431.00,451.00
14.00,1.00,APR_2,A2,451.00,519.41,539.41
16.00,2.00,OR_1,S1,15.51,51.19,71.19
16.00,3.00,ARR_1,D1,21.19,157.27,177.27
9.00,2.00,OR_2,S2,30.80,77.22,97.22
9.00,3.00,ARR_2,D2,47.22,193.01,213.01
5.00,2.00,OR_4,S3,56.13,125.84,145.84
5.00,3.00,ARR_4,D3,95.84,253.83,273.83
3.00,2.00,OR_1,S4,96.64,140.32,160.32
7.00,2.00,OR_3,S5,96.85,196.60,216.60
3.00,3.00,ARR_3,D4,110.32,233.85,253.85
10.00,2.00,OR_4,S6,181.58,242.33,262.33
8.00,2.00,OR_2,S1,192.12,237.94,257.94
8.00,3.00,ARR_2,D5,213.01,327.43,347.43
10.00,3.00,ARR_3,D6,253.85,466.91,486.91
6.00,2.00,OR_1,S2,224.24,431.74,451.74
7.00,3.00,ARR_4,D1,273.83,393.30,413.30
11.00,2.00,OR_4,S3,271.90,342.06,362.06
15.00,2.00,OR_3,S4,289.85,387.07,407.07
11.00,3.00,ARR_1,D2,312.06,422.68,442.68
2.00,2.00,OR_4,S1,362.06,448.39,468.39
1.00,2.00,OR_2,S6,335.49,429.09,449.09
15.00,3.00,ARR_2,D4,357.07,553.31,573.31
12.00,2.00,OR_2,S5,449.09,533.12,553.12
4.00,2.00,OR_4,S3,468.39,569.90,589.90
6.00,3.00,ARR_1,D3,442.68,632.60,652.60
2.00,3.00,ARR_4,D5,418.39,549.09,569.09
13.00,2.00,OR_3,S4,450.45,568.98,588.98
1.00,3.00,ARR_3,D1,486.91,647.65,667.65
14.00,2.00,OR_3,S2,588.98,667.86,687.86
12.00,3.00,ARR_3,D2,667.65,794.88,814.88
4.00,3.00,ARR_1,D6,652.60,867.76,887.76
13.00,3.00,ARR_2,D5,573.31,791.69,811.69
14.00,3.00,ARR_4,D4,637.86,799.29,819.29
