Job,Operation,Resource,Personnel,Start,ProcessingEnd,Finish
8.00,1.00,APR_3,A1,0.00,70.68,90.68
5.00,1.00,APR_2,A2,0.00,74.04,94.04
7.00,1.00,APR_2,A3,94.04,136.89,156.89
6.00,1.00,APR_1,A4,0.00,124.53,144.53
2.00,1.00,APR_4,A5,0.00,59.84,79.84
3.00,1.00,APR_4,A6,79.84,133.46,153.46
1.00,1.00,APR_4,A5,153.46,267.21,287.21
4.00,1.00,APR_3,A1,90.68,179.31,199.31
2.00,2.00,OR_3,S1,29.84,95.69,115.69
8.00,2.00,OR_1,S2,40.68,85.26,105.26
5.00,2.00,OR_2,S3,44.04,107.10,127.10
8.00,3.00,ARR_2,D1,55.26,203.23,223.23
2.00,3.00,ARR_3,D2,65.69,202.69,222.69
5.00,3.00,ARR_4,D3,77.10,220.93,240.93
6.00,2.00,OR_3,S4,115.69,284.80,304.80
3.00,2.00,OR_4,S5,103.46,148.51,168.51
7.00,2.00,OR_1,S6,106.89,247.67,267.67
3.00,3.00,ARR_1,D4,118.51,232.30,252.30
4.00,2.00,OR_2,S2,149.31,241.36,261.36
4.00,3.00,ARR_3,D5,222.69,415.94,435.94
7.00,3.00,ARR_2,D6,223.23,393.44,413.44
1.00,2.00,OR_4,S1,237.21,313.45,333.45
6.00,3.00,ARR_4,D2,254.80,413.87,433.87
1.00,3.00,ARR_1,D1,283.45,417.28,437.28
