Job,Operation,Resource,Personnel,Start,ProcessingEnd,Finish
3.00,1.00,APR_1,A1,0.00,58.43,78.43
16.00,1.00,APR_2,A2,0.00,46.23,66.23
7.00,1.00,APR_1,A3,78.43,123.48,143.48
2.00,1.00,APR_4,A4,0.00,58.64,78.64
6.00,1.00,APR_4,A5,78.64,176.87,196.87
10.00,1.00,APR_3,A6,0.00,69.58,89.58
4.00,1.00,APR_4,A2,196.87,292.55,312.55
8.00,1.00,APR_4,A1,312.55,375.16,395.16
9.00,1.00,APR_1,A4,143.48,191.15,211.15
13.00,1.00,APR_1,A6,211.15,308.28,328.28
11.00,1.00,APR_3,A3,143.48,200.51,220.51
5.00,1.00,APR_1,A5,328.28,397.53,417.53
14.00,1.00,APR_1,A4,417.53,485.20,505.20
15.00,1.00,APR_1,A3,505.20,603.48,623.48
12.00,1.00,APR_1,A2,623.48,677.61,697.61
1.00,1.00,APR_2,A6,328.28,440.78,460.78
16.00,2.00,OR_4,S1,16.23,51.75,71.75
16.00,3.00,ARR_2,D1,21.75,142.89,162.89
3.00,2.00,OR_2,S2,28.43,70.60,90.60
2.00,2.00,OR_1,S3,28.64,94.25,114.25
10.00,2.00,OR_3,S4,39.58,103.01,123.01
3.00,3.00,ARR_4,D2,40.60,171.22,191.22
2.00,3.00,ARR_3,D3,64.25,166.29,186.29
10.00,3.00,ARR_1,D4,73.01,215.79,235.79
7.00,2.00,OR_2,S5,93.48,184.92,204.92
6.00,2.00,OR_1,S6,146.87,299.93,319.93
7.00,3.00,ARR_2,D5,162.89,324.69,344.69
9.00,2.00,OR_3,S1,161.15,217.41,237.41
11.00,2.00,OR_4,S2,170.51,236.79,256.79
9.00,3.00,ARR_4,D6,191.22,327.60,347.60
11.00,3.00,ARR_3,D1,206.79,316.80,336.80
4.00,2.00,OR_2,S3,262.55,362.39,382.39
6.00,3.00,ARR_1,D3,269.93,465.55,485.55
13.00,2.00,OR_3,S4,278.28,387.27,407.27
4.00,3.00,ARR_4,D2,347.60,535.52,555.52
8.00,2.00,OR_1,S5,345.16,387.84,407.84
13.00,3.00,ARR_3,D4,357.27,574.06,594.06
8.00,3.00,ARR_2,D1,357.84,487.58,507.58
5.00,2.00,OR_2,S1,382.39,456.08,476.08
1.00,2.00,OR_4,S2,410.78,503.12,523.12
14.00,2.00,OR_4,S6,523.12,613.10,633.10
1.00,3.00,ARR_1,D5,485.55,622.79,642.79
5.00,3.00,ARR_2,D6,507.58,626.07,646.07
15.00,2.00,OR_3,S3,573.48,648.92,668.92
14.00,3.00,ARR_3,D3,594.06,805.57,825.57
15.00,3.00,ARR_1,D1,642.79,835.09,855.09
12.00,2.00,OR_1,S4,647.61,732.99,752.99
12.00,3.00,ARR_4,D2,702.99,846.21,866.21
