Room,Operation_Sequence
APR_1,3(Op1) -> 7(Op1) -> 9(Op1) -> 13(Op1) -> 5(Op1) -> 14(Op1) -> 15(Op1) -> 12(Op1)
APR_2,16(Op1) -> 1(Op1)
APR_3,10(Op1) -> 11(Op1)
APR_4,2(Op1) -> 6(Op1) -> 4(Op1) -> 8(Op1)
ARR_1,10(Op3) -> 6(Op3) -> 1(Op3) -> 15(Op3)
ARR_2,16(Op3) -> 7(Op3) -> 8(Op3) -> 5(Op3)
ARR_3,2(Op3) -> 11(Op3) -> 13(Op3) -> 14(Op3)
ARR_4,3(Op3) -> 9(Op3) -> 4(Op3) -> 12(Op3)
OR_1,2(Op2) -> 6(Op2) -> 8(Op2) -> 12(Op2)
OR_2,3(Op2) -> 7(Op2) -> 4(Op2) -> 5(Op2)
OR_3,10(Op2) -> 9(Op2) -> 13(Op2) -> 15(Op2)
OR_4,16(Op2) -> 11(Op2) -> 1(Op2) -> 14(Op2)
