Job,Operation,Resource,Personnel,Start,ProcessingEnd,Finish
3.00,1.00,APR_4,A1,0.00,57.13,77.13
13.00,1.00,APR_1,A2,0.00,115.66,135.66
4.00,1.00,APR_1,A3,135.66,228.64,248.64
12.00,1.00,APR_3,A4,0.00,49.49,69.49
10.00,1.00,APR_4,A5,77.13,144.23,164.23
15.00,1.00,APR_1,A6,248.64,352.43,372.43
7.00,1.00,APR_1,A4,372.43,418.90,438.90
11.00,1.00,APR_2,A1,77.13,140.74,160.74
5.00,1.00,APR_2,A2,160.74,248.35,268.35
6.00,1.00,APR_3,A1,160.74,253.03,273.03
8.00,1.00,APR_2,A3,268.35,341.27,361.27
12.00,2.00,OR_4,S1,19.49,90.04,110.04
3.00,2.00,OR_3,S2,27.13,67.43,87.43
3.00,3.00,ARR_1,D1,37.43,151.11,171.11
12.00,3.00,ARR_2,D2,60.04,206.12,226.12
13.00,2.00,OR_2,S3,85.66,192.83,212.83
11.00,2.00,OR_1,S4,110.74,172.15,192.15
10.00,2.00,OR_4,S5,114.23,170.36,190.36
10.00,3.00,ARR_4,D3,140.36,338.59,358.59
11.00,3.00,ARR_1,D4,171.11,285.18,305.18
13.00,3.00,ARR_2,D5,226.12,448.13,468.13
4.00,2.00,OR_3,S6,198.64,300.31,320.31
5.00,2.00,OR_1,S2,218.35,282.69,302.69
6.00,2.00,OR_3,S1,320.31,482.60,502.60
4.00,3.00,ARR_3,D6,270.31,422.34,442.34
5.00,3.00,ARR_1,D1,305.18,438.53,458.53
8.00,2.00,OR_1,S5,311.27,353.23,373.23
15.00,2.00,OR_1,S4,373.23,453.25,473.25
8.00,3.00,ARR_4,D2,358.59,498.46,518.46
7.00,2.00,OR_2,S3,388.90,523.96,543.96
15.00,3.00,ARR_2,D4,468.13,693.88,713.88
6.00,3.00,ARR_4,D3,518.46,781.42,801.42
7.00,3.00,ARR_3,D1,493.96,670.46,690.46
E17,1.00,APR_3,A1,384.77,430.74,450.74
E17,2.00,OR_2,S1,543.96,639.90,659.90
E17,3.00,ARR_2,D2,713.88,880.39,900.39
1.00,1.00,APR_2,A2,384.77,499.36,519.36
1.00,2.00,OR_1,S4,499.36,571.89,591.89
1.00,3.00,ARR_3,D4,690.46,846.67,866.67
9.00,1.00,APR_4,A3,384.77,442.78,462.78
9.00,2.00,OR_4,S2,442.78,495.62,515.62
9.00,3.00,ARR_1,D1,495.62,651.65,671.65
2.00,1.00,APR_2,A4,519.36,581.84,601.84
2.00,2.00,OR_1,S5,591.89,664.38,684.38
2.00,3.00,ARR_1,D5,671.65,824.46,844.46
14.00,1.00,APR_1,A5,438.90,504.68,524.68
14.00,2.00,OR_3,S3,504.68,595.21,615.21
14.00,3.00,ARR_4,D3,801.42,1008.78,1028.78
E16,1.00,APR_1,A1,599.83,682.90,702.90
E16,2.00,OR_1,S1,684.38,782.73,802.73
E16,3.00,ARR_1,D1,844.46,1017.29,1037.29
