Job,Operation,Resource,Personnel,Start,ProcessingEnd,Finish
15.00,1.00,APR_1,A1,0.00,110.17,130.17
4.00,1.00,APR_1,A2,130.17,212.65,232.65
1.00,1.00,APR_1,A3,232.65,334.37,354.37
9.00,1.00,APR_4,A4,0.00,50.01,70.01
13.00,1.00,APR_1,A5,354.37,458.11,478.11
10.00,1.00,APR_3,A6,0.00,54.02,74.02
11.00,1.00,APR_3,A6,74.02,131.10,151.10
8.00,1.00,APR_3,A1,151.10,224.36,244.36
6.00,1.00,APR_3,A6,244.36,356.85,376.85
3.00,1.00,APR_2,A2,232.65,285.76,305.76
5.00,1.00,APR_4,A2,305.76,379.09,399.09
2.00,1.00,APR_3,A3,376.85,439.24,459.24
9.00,2.00,OR_1,S1,20.01,73.87,93.87
10.00,2.00,OR_4,S2,24.02,72.82,92.82
10.00,3.00,ARR_3,D1,42.82,230.05,250.05
9.00,3.00,ARR_4,D2,43.87,196.16,216.16
15.00,2.00,OR_4,S3,92.82,167.64,187.64
11.00,2.00,OR_3,S4,101.10,162.94,182.94
15.00,3.00,ARR_2,D3,137.64,327.50,347.50
4.00,2.00,OR_2,S5,182.65,268.02,288.02
11.00,3.00,ARR_4,D4,216.16,334.78,354.78
8.00,2.00,OR_3,S6,216.16,261.16,281.16
8.00,3.00,ARR_3,D5,250.05,377.45,397.45
4.00,3.00,ARR_1,D6,238.02,445.20,465.20
3.00,2.00,OR_4,S2,255.76,301.49,321.49
1.00,2.00,OR_2,S1,304.37,406.12,426.12
3.00,3.00,ARR_4,D2,354.78,475.58,495.58
6.00,2.00,OR_3,S3,326.85,517.50,537.50
5.00,2.00,OR_4,S4,354.78,418.26,438.26
1.00,3.00,ARR_2,D1,376.12,535.92,555.92
5.00,3.00,ARR_3,D3,397.45,555.31,575.31
2.00,2.00,OR_2,S6,426.12,493.16,513.16
13.00,2.00,OR_4,S5,438.26,530.09,550.09
2.00,3.00,ARR_1,D4,465.20,645.02,665.02
6.00,3.00,ARR_4,D5,495.58,692.75,712.75
13.00,3.00,ARR_3,D6,575.31,747.93,767.93
E16,1.00,APR_1,A1,478.11,523.97,543.97
E16,2.00,OR_4,S2,550.09,668.06,688.06
E16,3.00,ARR_3,D4,767.93,968.82,988.82
12.00,1.00,APR_4,A2,400.51,448.03,468.03
12.00,2.00,OR_3,S3,537.50,628.77,648.77
12.00,3.00,ARR_1,D1,665.02,789.59,809.59
7.00,1.00,APR_3,A3,459.24,501.53,521.53
7.00,2.00,OR_2,S1,513.16,623.78,643.78
7.00,3.00,ARR_4,D2,712.75,847.84,867.84
14.00,1.00,APR_2,A4,400.51,472.38,492.38
14.00,2.00,OR_1,S4,472.38,563.18,583.18
14.00,3.00,ARR_2,D3,563.18,731.85,751.85
E17,1.00,APR_1,A1,623.52,666.06,686.06
E17,2.00,OR_1,S1,666.06,770.17,790.17
E17,3.00,ARR_1,D1,809.59,964.88,984.88
