Job,Operation,Resource,Personnel,Start,ProcessingEnd,Finish
8.00,1.00,APR_2,A1,0.00,69.83,89.83
12.00,1.00,APR_2,A2,89.83,137.23,157.23
5.00,1.00,APR_3,A3,0.00,82.21,102.21
14.00,1.00,APR_3,A4,102.21,173.63,193.63
7.00,1.00,APR_1,A5,0.00,43.24,63.24
15.00,1.00,APR_3,A6,193.63,300.59,320.59
4.00,1.00,APR_4,A5,63.24,155.53,175.53
2.00,1.00,APR_3,A1,320.59,386.89,406.89
6.00,1.00,APR_1,A5,175.53,273.01,293.01
11.00,1.00,APR_2,A6,320.59,377.06,397.06
7.00,2.00,OR_3,S1,13.24,106.29,126.29
8.00,2.00,OR_2,S2,39.83,83.97,103.97
5.00,2.00,OR_4,S3,52.21,110.02,130.02
8.00,3.00,ARR_2,D1,53.97,158.67,178.67
7.00,3.00,ARR_1,D2,76.29,283.17,303.17
5.00,3.00,ARR_3,D3,80.02,198.97,218.97
12.00,2.00,OR_1,S4,107.23,201.26,221.26
4.00,2.00,OR_3,S5,126.29,221.42,241.42
14.00,2.00,OR_2,S6,143.63,238.05,258.05
12.00,3.00,ARR_2,D4,178.67,286.27,306.27
4.00,3.00,ARR_4,D5,191.42,362.80,382.80
14.00,3.00,ARR_3,D6,218.97,420.26,440.26
6.00,2.00,OR_4,S2,243.01,395.98,415.98
15.00,2.00,OR_2,S1,270.59,350.24,370.24
11.00,2.00,OR_1,S3,347.06,425.62,445.62
15.00,3.00,ARR_4,D1,382.80,552.88,572.88
2.00,2.00,OR_2,S4,382.80,455.25,475.25
6.00,3.00,ARR_1,D3,365.98,568.76,588.76
11.00,3.00,ARR_2,D2,395.62,518.43,538.43
2.00,3.00,ARR_3,D4,440.26,584.12,604.12
E16,1.00,APR_1,A1,322.10,406.07,426.07
E16,2.00,OR_3,S4,406.07,521.05,541.05
E16,3.00,ARR_1,D4,588.76,796.08,816.08
3.00,1.00,APR_4,A2,322.10,385.81,405.81
3.00,2.00,OR_2,S2,475.25,520.86,540.86
3.00,3.00,ARR_3,D2,604.12,722.43,742.43
E17,1.00,APR_3,A1,406.89,452.84,472.84
E17,2.00,OR_4,S1,452.84,565.94,585.94
E17,3.00,ARR_2,D2,565.94,741.53,761.53
1.00,1.00,APR_4,A2,405.81,524.10,544.10
1.00,2.00,OR_1,S4,524.10,612.86,632.86
1.00,3.00,ARR_1,D4,816.08,971.16,991.16
9.00,1.00,APR_2,A3,397.06,448.16,468.16
9.00,2.00,OR_2,S2,540.86,592.21,612.21
9.00,3.00,ARR_4,D1,592.21,717.36,737.36
13.00,1.00,APR_1,A4,426.07,531.58,551.58
13.00,2.00,OR_3,S3,541.05,624.00,644.00
13.00,3.00,ARR_3,D3,742.43,932.58,952.58
10.00,1.00,APR_1,A5,551.58,619.56,639.56
10.00,2.00,OR_2,S5,619.56,672.31,692.31
10.00,3.00,ARR_4,D5,737.36,910.80,930.80
