Job,Operation,Resource,Personnel,Start,ProcessingEnd,Finish
10.00,1.00,APR_3,A1,0.00,69.79,89.79
1.00,1.00,APR_3,A2,89.79,198.12,218.12
8.00,1.00,APR_4,A3,0.00,82.44,102.44
14.00,1.00,APR_4,A4,102.44,174.08,194.08
12.00,1.00,APR_1,A5,0.00,53.61,73.61
9.00,1.00,APR_2,A6,0.00,55.82,75.82
2.00,1.00,APR_1,A5,73.61,129.17,149.17
6.00,1.00,APR_3,A6,218.12,323.25,343.25
11.00,1.00,APR_4,A5,194.08,250.62,270.62
5.00,1.00,APR_2,A5,270.62,348.46,368.46
12.00,2.00,OR_1,S1,23.61,111.59,131.59
9.00,2.00,OR_3,S2,25.82,73.11,93.11
10.00,2.00,OR_2,S3,39.79,94.11,114.11
9.00,3.00,ARR_4,D1,43.11,215.10,235.10
8.00,2.00,OR_4,S4,52.44,93.59,113.59
8.00,3.00,ARR_2,D2,63.59,181.98,201.98
10.00,3.00,ARR_1,D3,64.11,256.13,276.13
12.00,3.00,ARR_3,D4,81.59,206.28,226.28
2.00,2.00,OR_1,S5,131.59,189.18,209.18
14.00,2.00,OR_3,S6,144.08,244.13,264.13
1.00,2.00,OR_4,S2,168.12,264.68,284.68
2.00,3.00,ARR_2,D5,201.98,366.14,386.14
11.00,2.00,OR_2,S4,220.62,280.17,300.17
1.00,3.00,ARR_3,D6,234.68,382.40,402.40
14.00,3.00,ARR_1,D2,276.13,460.11,480.11
11.00,3.00,ARR_4,D4,250.17,385.13,405.13
6.00,2.00,OR_4,S3,293.25,469.91,489.91
5.00,2.00,OR_3,S1,318.46,394.70,414.70
5.00,3.00,ARR_3,D1,402.40,554.40,574.40
6.00,3.00,ARR_4,D3,439.91,631.07,651.07
E16,1.00,APR_2,A1,368.46,412.89,432.89
E16,2.00,OR_4,S1,489.91,601.50,621.50
E16,3.00,ARR_4,D2,651.07,828.11,848.11
3.00,1.00,APR_1,A2,324.75,386.61,406.61
3.00,2.00,OR_1,S3,386.61,427.43,447.43
3.00,3.00,ARR_3,D1,574.40,722.76,742.76
15.00,1.00,APR_3,A3,343.25,442.40,462.40
15.00,2.00,OR_3,S4,442.40,531.85,551.85
15.00,3.00,ARR_2,D4,531.85,738.43,758.43
4.00,1.00,APR_3,A4,462.40,546.29,566.29
4.00,2.00,OR_1,S6,546.29,673.92,693.92
4.00,3.00,ARR_4,D6,848.11,1043.83,1063.83
7.00,1.00,APR_4,A5,324.75,371.54,391.54
7.00,2.00,OR_2,S2,371.54,491.27,511.27
7.00,3.00,ARR_1,D3,491.27,673.99,693.99
13.00,1.00,APR_4,A6,391.54,471.40,491.40
13.00,2.00,OR_4,S5,621.50,717.11,737.11
13.00,3.00,ARR_3,D5,742.76,958.79,978.79
E17,1.00,APR_2,A1,561.31,654.12,674.12
E17,2.00,OR_1,S1,693.92,796.11,816.11
E17,3.00,ARR_2,D1,796.11,952.08,972.08
