Room,Operation_Sequence
APR_1,12(Op1) -> 2(Op1) -> 3(Op1)
APR_2,9(Op1) -> 5(Op1) -> E16(Op1) -> E17(Op1)
APR_3,10(Op1) -> 1(Op1) -> 6(Op1) -> 15(Op1) -> 4(Op1)
APR_4,8(Op1) -> 14(Op1) -> 11(Op1) -> 7(Op1) -> 13(Op1)
ARR_1,10(Op3) -> 14(Op3) -> 7(Op3)
ARR_2,8(Op3) -> 2(Op3) -> 15(Op3) -> E17(Op3)
ARR_3,12(Op3) -> 1(Op3) -> 5(Op3) -> 3(Op3) -> 13(Op3)
ARR_4,9(Op3) -> 11(Op3) -> 6(Op3) -> E16(Op3) -> 4(Op3)
OR_1,12(Op2) -> 2(Op2) -> 3(Op2) -> 4(Op2) -> E17(Op2)
OR_2,10(Op2) -> 11(Op2) -> 7(Op2)
OR_3,9(Op2) -> 14(Op2) -> 5(Op2) -> 15(Op2)
OR_4,8(Op2) -> 1(Op2) -> 6(Op2) -> E16(Op2) -> 13(Op2)
